No Buku,Judul,Genre,Penulis
102,Aplikasi Program PHP + MySQL untuk Membuat WEBSITE INTERAKTIF,Pendidikan,Andi
103,Pemrograman Dasar,Pendidikan,Eko Subiyantoro
104,Tata Bahasa Indonesia,Pendidikan,Dr. Gorys Keraf
105,The Fall OF Advertising,Pendidikan,Al Ries & Laura Ries
106,Basis Data,Pendidikan,Daniel Yeri Kristiyanto
107,Sains Untuk Kesempurnaan Ibadah,Pendidikan,"Dimsiki Hadi, HM. Dan Muhammad Hariwijaya"
108,"Tari Cinta","Romansa,T drama","Ayu Sani"
109,"Pulang Ke Rumah","Fiksi Realis","Lidya Syafira"
110,"Angin Malam","Fiksi Sejarah","Arief Santoso"
111,"Perjalanan Tanpa Batas","Petualangan","Riska Muthiara"
112,"Langit Ke-10","Fantasi, Petualangan","Dewi Lestari"
113,"Pemandangan Ajaib","Fantasi Aksi","Feryo Irawan"
114,"Sekelumit Cinta","Romansa, Drama","Rina Supriani"
115,"Mimpi Di Dunia Lain","Fantasi, Ilmiah","Arya Pratama"
116,"Tembok Pemisah","Fiksi Psikologis","Dian Paramita"
117,"Cahaya Terakhir","Fiksi Sastra","Iman Nasir"
118,"Jejak Langkah","Fiksi Sejarah, Petualangan","Veronica Aisya"
119,"Hujan Dan Pelangi","Romansa, Drama","Novi Kinasih"
120,"Sisi Lain Dunia","Fiksi, Fantasi","Adriansyah Azwar"
121,"Kehilangan Sejati","Drama, Fiksi","Maya Fitri"
122,"Langit Menangis","Romansa, Fiksi","Dani Arsyad"
123,"Ratu Laut Selatan","Fantasi, Aksi","Liza Hanafiah"
124,"Kisah Cinta Di Bali","Romansa, Petualangan","Hana Zahra"
125,"Aku, Kamu, dan Lautan","Romansa, Fiksi","Fani Anisa"
126,"Hidup Tanpa Batas","Self-help book","Ari Setiawan"
127,"Misteri Rumah Tua","Horor, Fiksi","Vivi Kurniawati"
128,"Satu Jalan Menuju Cinta","Romansa, Komedi","Alya Puspita"
129,"Dari Jakarta Ke London","Petualangan, Fiksi","Sigit Wicaksono"
130,"Hati Yang Patah","Drama, Romansa","Yuliana Dewi"
131,"Senyuman Pagi","Romansa, Fiksi","Santi Melati"
132,"Pusaran Cinta","Romansa, Fiksi Sejarah","Kresna Adi"
133,"Rintik Hujan","Romansa, Fiksi, Drama","Siti Hafizah"
134,"Pulang Ke Hati","Romansa, Fiksi, Psikologis","Rara Putri"
135,"Cinta Di Antara Bintang","Romansa, Fantasi","Fira Suryani"
136,"Perempuan Itu","Drama, Fiksi, Inspirasi","Fina Amalia"
137,"Di Ujung Dunia","Petualangan, Fiksi","Farah Putri"
138,"Kehidupan Di Dalam Kubus","Fiksi, Ilmiah","Tio Pratama"
139,"Dua Dunia Dalam Satu Cinta","Romansa, Fantasi","Tia Fajarwati"
140,"Suara Hati","Drama, Fiksi, Inspirasi","Diana Tania"
141,"Matahari Terbenam","Romansa, Drama","Ria Salsabila"
142,"Tinta Kehidupan","Fiksi, Sejarah","Rina Dwiastuti"
143,"Cinta Tak Pernah Mati","Romansa, Fiksi","Arina Mutiara"
144,"Menggapai Cita","Motivasi, Fiksi","Budi Kurniawan"
145,"Jejak Langkah Cinta","Romansa, Drama","Anggi Purwanti"
146,"Hidup Dalam Kebahagiaan","Self-help book","Zulfa Ismail"
147,"Hati Yang Luka","Romansa, Psikologis","Nina Lestari"
148,"Mimpi yang Hilang","Fiksi, Drama","Aisyah Kamilah"
149,"Di Balik Awan","Romansa, Fantasi","Fitria Zahra"
150,"Cinta Abadi","Romansa, Fiksi","Amira Nabila"
151,"Langit Tanpa Batas","Fiksi, Fantasi","Hendra Putra"
152,"Kisah Cinta Di Tengah Perang","Fiksi, Sejarah","Rina Lesmana"
153,"Bumi dan Cinta","Romansa, Fiksi","Tina Rahmawati"
154,"Hujan dan Senja","Romansa, Drama","Maya Lestari"
155,"Dunia Tanpa Cinta","Fiksi, Psikologis","Sari Mulyani"
156,"Cinta Yang Hilang","Romansa, Fiksi","Rani Dewi"
157,"Hati Yang Terluka","Drama, Fiksi","Siti Nurbaya"
158,"Kenangan Terindah","Romansa, Fiksi","Nina Anggraeni"
159,"Kisah di Tanah Suci","Religi, Fiksi","Syifa Amelia"
160,"Kembalinya Sang Pahlawan","Fantasi, Petualangan","Arman Suryana"
161,"Semesta Cinta","Romansa, Fiksi","Ika Rahayu"
162,"Cinta Dalam Gelap","Romansa, Psikologis","Fahrina Dwi"
163,"Hati yang Mengalir","Drama, Fiksi","Lina Yuliana"
164,"Cinta Terlarang","Romansa, Fiksi","Farisa Meliana"
165,"Pulang Setelah Lama","Fiksi, Sejarah","Fikri Kurniawan"
166,"Langit Menanti","Romansa, Fantasi","Fiona Lestari"
167,"Pahlawan Cinta","Fiksi, Aksi","Junaidi Dwi"
168,"Mencari Cinta Sejati","Romansa, Fiksi","Randy Prabowo"
169,"Senyum Di Tengah Badai","Drama, Romansa","Dita Oktaviani"
170,"Dari Cinta Ke Bahagia","Romansa, Fiksi","Adelia Rizka"
171,"Mencintai Tanpa Kata","Romansa, Drama","Citra Dewi"
172,"Menunggu Cinta","Romansa, Fiksi","Yanti Siti"
173,"Luka Yang Tak Terobati","Fiksi, Psikologis","Triana Putri"
174,"Pulang Dalam Cinta","Romansa, Sejarah","Baharudin Hidayat"
175,"Sisi Terbaik dalam Hidup","Self-help book","Ami Farah"
176,"Langit dan Laut","Romansa, Petualangan","Isma Kurnia"
177,"Pahitnya Cinta","Romansa, Drama","Santi Indah"
178,"Sang Pahlawan Cinta","Fantasi, Aksi","Denny Soedarto"
179,"Cinta yang Hilang","Fiksi, Drama","Siti Halimah"
180,"Mencintaimu Dalam Diam","Romansa, Fiksi","Dini Prastika"
181,"Badai Cinta","Romansa, Drama","Mira Indriani"
182,"Menjemput Cinta","Romansa, Fiksi","Nayla Putri"
183,"Langit Hati","Romansa, Fiksi","Zainab Malika"
184,"Kehidupan dan Cinta","Fiksi, Drama","Kamaluddin Anwar"
185,"Di Antara Cinta dan Kesetiaan","Romansa, Fiksi","Cici Rahmawati"
186,"Tersenyum Di Tengah Hujan","Romansa, Fiksi","Irmawati Shinta"
187,"Harapan Dalam Cinta","Romansa, Fiksi","Yolanda Siti"
188,"Cinta Setelah Kepergian","Romansa, Fiksi","Amalina Putri"
189,"Langkah Cinta","Romansa, Drama","Rizki Wijayanti"
190,"Di Ujung Waktu","Fiksi, Sejarah","Taufik Harahap"
191,"Mengenang Cinta","Romansa, Fiksi","Maya Yuliana"
192,"Cinta yang Tertunda","Drama, Romansa","Dewi Sari"
